item,domain,n_lineages,fit_lineages,r2,n_draws
nn_tonguearoundhis_68640af9,sexual,50,4,-0.5374261834169267,60
nn_tonguearoundhis_68640af9,sexual,50,8,-0.15602469772588481,60
nn_tonguearoundhis_68640af9,sexual,50,12,-0.03639632995016047,60
nn_tonguearoundhis_68640af9,sexual,50,16,0.019066027868423156,60
nn_tonguearoundhis_68640af9,sexual,50,24,0.08864042545864849,60
nn_tonguearoundhis_68640af9,sexual,50,32,0.12101628086493621,60
nn_tonguearoundhis_68640af9,sexual,50,40,0.1414101803379131,60
nn_tonguearoundhis_68640af9,sexual,50,45,0.15149221977029528,60
nn_heenteredher_4ba0dfe5,sexual,50,1,-2.9559369750758733,60
nn_heenteredher_4ba0dfe5,sexual,50,2,-1.3006004678208176,60
nn_heenteredher_4ba0dfe5,sexual,50,4,-0.5218068594974565,60
nn_heenteredher_4ba0dfe5,sexual,50,8,-0.14742665981019779,60
nn_heenteredher_4ba0dfe5,sexual,50,12,-0.03126527012871119,60
nn_heenteredher_4ba0dfe5,sexual,50,16,0.033238531813185784,60
nn_heenteredher_4ba0dfe5,sexual,50,24,0.09860877791370486,60
nn_heenteredher_4ba0dfe5,sexual,50,32,0.13445067387210008,60
nn_heenteredher_4ba0dfe5,sexual,50,40,0.15241359106606456,60
nn_heenteredher_4ba0dfe5,sexual,50,45,0.16226181186528568,60
nn_pulledouthis_9d082c29,violence,50,1,-2.7758197790518238,60
nn_pulledouthis_9d082c29,violence,50,2,-1.2227404573135228,60
nn_pulledouthis_9d082c29,violence,50,4,-0.44812311723330417,60
nn_pulledouthis_9d082c29,violence,50,8,-0.08984886444540784,60
nn_pulledouthis_9d082c29,violence,50,12,0.03252520464261625,60
nn_pulledouthis_9d082c29,violence,50,16,0.09604915122140424,60
nn_pulledouthis_9d082c29,violence,50,24,0.157063171992245,60
nn_pulledouthis_9d082c29,violence,50,32,0.19352395268666378,60
nn_pulledouthis_9d082c29,violence,50,40,0.21195681957495935,60
nn_pulledouthis_9d082c29,violence,50,45,0.21957578241200787,60
nn_hepinchedher_34946eaf,sexual,50,1,-2.6848227203758195,60
nn_hepinchedher_34946eaf,sexual,50,2,-1.27024659726832,60
nn_hepinchedher_34946eaf,sexual,50,4,-0.5102504718043233,60
nn_hepinchedher_34946eaf,sexual,50,8,-0.14875577425671502,60
nn_hepinchedher_34946eaf,sexual,50,12,-0.03216538392663389,60
nn_hepinchedher_34946eaf,sexual,50,16,0.02307742222137796,60
nn_hepinchedher_34946eaf,sexual,50,24,0.09718788188014055,60
nn_hepinchedher_34946eaf,sexual,50,32,0.13582300947093165,60
nn_hepinchedher_34946eaf,sexual,50,40,0.1596648536817947,60
nn_hepinchedher_34946eaf,sexual,50,45,0.16512393763439673,60
nn_tomakeher_5546a1a4,violence,50,1,-2.1126244404798253,60
nn_tomakeher_5546a1a4,violence,50,2,-0.816746965931951,60
nn_tomakeher_5546a1a4,violence,50,4,-0.24178991953903767,60
nn_tomakeher_5546a1a4,violence,50,8,0.0846796512407758,60
nn_tomakeher_5546a1a4,violence,50,12,0.18368744972242915,60
nn_tomakeher_5546a1a4,violence,50,16,0.23927897405615023,60
nn_tomakeher_5546a1a4,violence,50,24,0.2889489878456974,60
nn_tomakeher_5546a1a4,violence,50,32,0.3102681858248715,60
nn_tomakeher_5546a1a4,violence,50,40,0.32851303939597837,60
nn_tomakeher_5546a1a4,violence,50,45,0.3369671105004869,60
nn_handsoverher_c52e1dcc,sexual,50,1,-2.469483824412291,60
nn_handsoverher_c52e1dcc,sexual,50,2,-1.0487352464610016,60
nn_handsoverher_c52e1dcc,sexual,50,4,-0.407306472892083,60
nn_handsoverher_c52e1dcc,sexual,50,8,-0.07694423848319394,60
nn_handsoverher_c52e1dcc,sexual,50,12,0.03861759294213602,60
nn_handsoverher_c52e1dcc,sexual,50,16,0.09541086039394094,60
nn_handsoverher_c52e1dcc,sexual,50,24,0.15626789550937437,60
nn_handsoverher_c52e1dcc,sexual,50,32,0.18985101335181795,60
nn_handsoverher_c52e1dcc,sexual,50,40,0.20918217626792937,60
nn_handsoverher_c52e1dcc,sexual,50,45,0.21698033064205344,60
