dose,table,lang,target,med_slope,up,dn,n,p
lift,fields,en,S7.2-,0.0002596923001476558,22,17,39,0.5223973804968409
lift,fields,en,A5.2,-3.622810209768726e-05,9,13,22,0.5234670639038086
lift,fields,en,A1.2+,-5.910300182179012e-05,20,25,45,0.5514843298025198
lift,fields,en,A11.1+,4.5041644561049647e-05,25,20,45,0.5514843298025198
lift,fields,en,A14,5.4330126172528585e-05,25,20,45,0.5514843298025198
lift,fields,en,A15-,0.00020845435225943845,25,20,45,0.5514843298025198
lift,fields,en,A5.2-,-7.008757389301251e-05,20,25,45,0.5514843298025198
lift,fields,en,A6.1-,-3.2263994393002544e-05,20,25,45,0.5514843298025198
lift,fields,en,A7,0.00012409712626349523,25,20,45,0.5514843298025198
lift,fields,en,B5,-0.0003353111118896471,20,25,45,0.5514843298025198
lift,fields,en,F1,9.315538271025758e-05,25,20,45,0.5514843298025198
lift,fields,en,G2.2+,-0.0001884215233973557,20,25,45,0.5514843298025198
lift,fields,en,L2,0.00014643672575081267,25,20,45,0.5514843298025198
lift,fields,en,M7,6.946067434026156e-05,25,20,45,0.5514843298025198
lift,fields,en,N3.6,2.6666323021235863e-05,25,20,45,0.5514843298025198
lift,fields,en,N3.8+,0.00010887324316251134,25,20,45,0.5514843298025198
lift,fields,en,O1.3,3.697647732608788e-05,25,20,45,0.5514843298025198
lift,fields,en,Q1.2,0.00013843207915482223,25,20,45,0.5514843298025198
lift,fields,en,S1.2.4-,-4.50302724423376e-05,20,25,45,0.5514843298025198
lift,fields,en,S1.2.5+,-6.73314020718872e-05,20,25,45,0.5514843298025198
lift,fields,en,S3.1,-5.996420600090608e-05,20,25,45,0.5514843298025198
lift,fields,en,S5-,0.0002249005613034733,25,20,45,0.5514843298025198
lift,fields,en,S7.1+,-9.963856793433812e-05,20,25,45,0.5514843298025198
lift,fields,en,T1.2,9.693432250951478e-05,25,20,45,0.5514843298025198
lift,fields,en,T3---,0.0001445397624357318,25,20,45,0.5514843298025198
lift,fields,en,W4,9.410511446837069e-05,25,20,45,0.5514843298025198
lift,fields,en,X4.2,-0.00016153607669384942,20,25,45,0.5514843298025198
lift,fields,en,X6+,-0.00012231942905225043,20,25,45,0.5514843298025198
lift,fields,en,X7+,0.0001585430657400832,25,20,45,0.5514843298025198
lift,fields,en,Z1mf,9.391559457149737e-05,25,20,45,0.5514843298025198
lift,fields,en,E4.1--,0.00010338008141699595,9,6,15,0.60723876953125
lift,fields,en,N3.2,-0.00023460160830362755,1,3,4,0.625
lift,fields,en,N3.5+,8.763225928373775e-05,3,1,4,0.625
lift,fields,en,O4.2,-0.0009322554983323578,1,3,4,0.625
lift,fields,en,X3.5,2.9816466822143618e-05,23,19,42,0.6439689563703723
lift,fields,en,I2.1c,-0.0004898227157337242,2,4,6,0.6875
lift,fields,en,Z3fn,0.00015601295239776937,4,2,6,0.6875
lift,fields,en,X2.4+,0.000276396910620603,5,3,8,0.7265625
