dose,table,lang,target,med_slope,up,dn,n,p
lift,fields,en,Q4.3,0.0001733863001428252,31,19,50,0.11892045255943628
lift,fields,en,S7.1-,-0.00019652542670665609,19,31,50,0.11892045255943628
lift,fields,en,T1.3+,-3.4781936793262244e-05,19,31,50,0.11892045255943628
lift,fields,en,T2++,7.746423910273313e-05,31,19,50,0.11892045255943628
lift,fields,en,T3+,-0.00034506756351620376,19,31,50,0.11892045255943628
lift,fields,en,Y2,0.0001346968337421103,31,19,50,0.11892045255943628
lift,fields,en,O4.2,-0.0029513458638039517,0,4,4,0.125
lift,fields,en,X3.5,-0.0003827614080200689,8,16,24,0.15158963203430176
lift,fields,en,N3.8,0.00022522868435766034,27,17,44,0.17417114727072658
lift,fields,en,W1,0.0004978203711394221,22,13,35,0.17546524899080396
lift,fields,en,B2,-0.0001420475950001238,4,10,14,0.1795654296875
lift,fields,en,A11.1-,-0.00014042658655406855,20,30,50,0.20263875106454066
lift,fields,en,A13.2,6.722103735172361e-05,30,20,50,0.20263875106454066
lift,fields,en,A2.1,0.00011207687200149943,30,20,50,0.20263875106454066
lift,fields,en,A5,-8.132205093047765e-05,20,30,50,0.20263875106454066
lift,fields,en,A5.4+,0.0002872098121911109,30,20,50,0.20263875106454066
lift,fields,en,B3,0.00031488803674895114,30,20,50,0.20263875106454066
lift,fields,en,B5-,0.0007307792559894028,30,20,50,0.20263875106454066
lift,fields,en,F3,-0.00046282188272827663,20,30,50,0.20263875106454066
lift,fields,en,G1.2,0.0002891423246437525,30,20,50,0.20263875106454066
lift,fields,en,I1.3,0.00019943316249018857,30,20,50,0.20263875106454066
lift,fields,en,L2mfn,-0.0001792412669231139,20,30,50,0.20263875106454066
lift,fields,en,M1,0.0004052341197487827,30,20,50,0.20263875106454066
lift,fields,en,O4.2+,5.87824473423312e-05,30,20,50,0.20263875106454066
lift,fields,en,P1,0.00019109517001006976,30,20,50,0.20263875106454066
lift,fields,en,S5+c,-0.0001417208906742072,20,30,50,0.20263875106454066
lift,fields,en,S7.1+,0.00022949404108953364,30,20,50,0.20263875106454066
lift,fields,en,S8+,-9.918687432970772e-05,20,30,50,0.20263875106454066
lift,fields,en,X2.3+,0.00010260843336701311,30,20,50,0.20263875106454066
lift,fields,en,X3.1,-0.00018687675912745156,20,30,50,0.20263875106454066
lift,fields,en,X3.4+,-0.00038585066957608016,20,30,50,0.20263875106454066
lift,fields,en,Z1mf,8.286517776263782e-05,30,20,50,0.20263875106454066
lift,fields,en,Z8f,-0.0006102892734460969,20,30,50,0.20263875106454066
lift,fields,en,Y1,-0.00013832037199259362,12,20,32,0.21532714972272515
lift,fields,en,N3.7-,6.983360367585867e-05,17,10,27,0.24778856337070465
lift,fields,en,E2++,0.0004907448548529703,3,0,3,0.25
lift,fields,en,Q4,0.0027635229987460993,29,20,49,0.2528697301676033
lift,fields,en,Q4.2c,-0.0002558240234216528,20,29,49,0.2528697301676033
lift,fields,en,A9,-0.00018122201941874583,14,21,35,0.31050465907901525
lift,fields,en,I3.2,-9.435471665588096e-05,14,21,35,0.31050465907901525
lift,fields,en,S5-,0.00037239699241262635,28,20,48,0.31232680747326924
lift,fields,en,A1.1.1,-0.00019006273881181846,21,29,50,0.3222363203575469
lift,fields,en,A1.5.1,-0.000124139311167949,21,29,50,0.3222363203575469
lift,fields,en,A1.7-,0.00010651985567748318,29,21,50,0.3222363203575469
