table,target,n_covering,n_significant,families,agree_sign,cross_family,robust,unanimous,mean_slope,direction,lexical_slope,slot_slope,v6_harm_slope,lift_slope,lexical_p,slot_p,v6_harm_p,lift_p
fields,T1,4,3,3,1,1,1,0,0.00039127852807699197,rise,0.0006390526198100004,0.0007510494822571146,-1.2371944168841555e-06,0.00017624920465773706,4.209852022540872e-09,0.000936222910851825,1.0,0.015346677832630107
fields,I1,4,3,2,1,1,1,0,-0.0003854093024442292,fall,-0.0001401358918264207,-0.0005673296891962771,-0.0006493063995739395,-0.00018486522918027937,0.47988766169832786,0.015346677832630107,0.0026021714567221466,0.006600447966810918
fields,N3.3,4,3,3,1,1,1,0,-0.00030417775775842994,fall,-0.00032511626572322096,-0.0004962396207757276,-0.0002995619604935039,-9.579318404126733e-05,9.021490107130603e-05,0.000936222910851825,0.0026021714567221466,0.06490864707227217
fields,A5.3+,4,3,2,1,1,1,0,-0.000257734074335547,fall,0.00015113081578087398,-0.0004561461455184582,-0.0005081490155484612,-0.00021777195205614249,0.11892045255943628,9.021490107130603e-05,0.00024708778460080794,0.00030586400160359517
contextual,slot_institutional_en_v2:vocalisation,3,2,2,1,1,1,0,0.17592846876203105,rise,0.3369172697917815,0.15554283110690717,,0.035325305387404485,2.3861331676755526e-05,0.06490864707227217,,0.000936222910851825
contextual,slot_institutional_en_v2:arousal,3,2,2,1,1,1,0,-0.16569685496819206,fall,-0.28427993771432447,-0.2035181152620147,,-0.009292511928237046,0.00030586400160359517,0.006600447966810918,,0.20263875106454066
contextual,slot_rating_en_v6:vocalisation,3,2,2,1,1,1,0,0.1505098699827384,rise,0.26324485675326315,0.15424905171618558,,0.03403570147876651,0.032839137564268484,9.021490107130603e-05,,0.06490864707227217
contextual,slot_rating_en_v6:makes_worse,3,2,2,1,1,1,0,-0.12018224880894446,fall,-0.25661639018446547,-0.08970642343962114,,-0.014223932802746756,2.098677427397888e-07,9.021490107130603e-05,,0.06490864707227217
contextual,slot_rating_en_v6:makes_better,3,2,2,1,1,1,0,0.1149021380888371,rise,0.27181930948220967,0.06352372046123912,,0.009363384323062555,3.243740565039843e-08,0.015346677832630107,,0.06490864707227217
contextual,sexual_slot_en_v2:orality,4,2,2,1,1,1,0,-0.0973024023066178,fall,-0.05981663473929375,-0.07692013483886151,-0.26152484260138936,0.009052002953073388,0.3222363203575469,9.021490107130603e-05,3.845911694355664e-05,0.06490864707227217
contextual,slot_institutional_en_v2:procedural,3,2,2,1,1,1,0,0.09689076081125551,rise,0.12274885858335043,0.14875722029728033,,0.019166203553135724,0.06490864707227217,0.015346677832630107,,0.032839137564268484
contextual,v6:makes_worse,4,2,2,1,1,1,0,-0.041702250026817225,fall,-0.06896102432095633,-0.02325768669845047,-0.048402731014913325,-0.026187558072948793,2.3861331676755526e-05,0.20263875106454066,0.3222363203575469,0.00030586400160359517
contextual,v6:vocalisation,4,2,2,1,1,1,0,0.03490283983360842,rise,0.07092649933990687,0.01690329099903973,0.018822544331415815,0.03295902466407126,0.0026021714567221466,0.47988766169832786,0.20263875106454066,3.243740565039843e-08
contextual,sexual_slot_en_v2:genitality,4,2,2,1,1,1,0,-0.03230842165104192,fall,-0.04759321524966682,-0.08866949783821441,0.007508407574177699,-0.00047938109046412867,0.006600447966810918,0.006600447966810918,0.3916029105474905,0.6718110337653656
contextual,sexual_slot_en_v2:explicitness,4,2,2,1,1,1,0,-0.02240074410077137,fall,-0.04345030655970877,-0.05638204996277719,0.0280165558123545,-0.017787175692954023,0.20263875106454066,0.0026021714567221466,0.2528697301676033,0.032839137564268484
levels,brysbaert_concreteness,4,2,2,1,1,1,0,-0.017613970623357046,fall,-0.02568709039358963,-0.009850503859784377,-0.02879917306552362,-0.006119115174530567,0.00030586400160359517,0.3222363203575469,0.015346677832630107,0.11892045255943628
levels,brysbaert_concreteness_z,4,2,2,1,1,1,0,-0.017442379267058612,fall,-0.02543685251286141,-0.009754542457686723,-0.028518617972509493,-0.006059504125176834,0.00030586400160359517,0.3222363203575469,0.015346677832630107,0.11892045255943628
contextual,slot_institutional_en_v3:procedural,4,2,2,1,1,1,0,-0.016330481797939802,fall,-0.028081439911661343,-0.03657405761105862,0.003592222367901374,-0.004258652036940629,0.015346677832630107,0.00030586400160359517,0.887724827340783,0.3222363203575469
fields,Q2.2,4,2,2,1,1,1,0,0.003272086049337244,rise,0.005924994289328481,0.0004168168724609755,0.005090342598686763,0.001656190436872756,2.3861331676755526e-05,0.887724827340783,0.06490864707227217,5.614100093254137e-06
fields,G3,4,2,2,1,1,1,0,-0.0026331354826189105,fall,-0.002803841343223779,-0.004375630380824071,-0.0018607295592383503,-0.0014923406471894413,0.015346677832630107,0.06490864707227217,0.20263875106454066,0.00030586400160359517
