scene,prompt,word,n_rise,n_fall,net,n_carriers,median_delta_pp,mean_delta_pp,net_mass,scale,out,n_lineages
tookoff,She slowly took off her,outerwear,6,2,4,8,+0.04110,+0.05857,+0.00469,Ccharge,,50
tookoff,She slowly took off her,muddy,4,0,4,4,+0.13348,+0.12557,+0.00502,Ccharge,,50
tookoff,She slowly took off her,orange,4,0,4,4,+0.06872,+0.07332,+0.00293,Ccharge,,50
tookoff,She slowly took off her,evening,4,0,4,4,+0.17451,+0.18425,+0.00737,Ccharge,,50
tookoff,She slowly took off her,remaining,3,0,3,3,+0.03396,+0.03711,+0.00111,Ccharge,,50
tookoff,She slowly took off her,silver,12,9,3,21,+0.01843,+0.03198,+0.00672,Ccharge,,50
tookoff,She slowly took off her,soaked,4,1,3,5,+0.00969,+0.05705,+0.00285,Ccharge,,50
tookoff,She slowly took off her,high-heeled,4,1,3,5,+0.05099,+0.09290,+0.00465,Ccharge,,50
tookoff,She slowly took off her,latex,4,1,3,5,+0.03537,+0.03841,+0.00192,Ccharge,,50
tookoff,She slowly took off her,slacks,4,1,3,5,+0.08563,+0.06535,+0.00327,Ccharge,,50
tookoff,She slowly took off her,sports,4,1,3,5,+0.04519,+0.04404,+0.00220,Ccharge,,50
tookoff,She slowly took off her,handkerchief,5,2,3,7,+0.06306,+0.11559,+0.00809,Ccharge,,50
tookoff,She slowly took off her,expensive,3,0,3,3,+0.07074,+0.07350,+0.00221,Ccharge,,50
tookoff,She slowly took off her,ruby,3,0,3,3,+0.06739,+0.06028,+0.00181,Ccharge,,50
tookoff,She slowly took off her,upper,3,0,3,3,+0.03701,+0.04112,+0.00123,Ccharge,,50
tookoff,She slowly took off her,blazer,16,14,2,30,+0.00796,+0.05101,+0.01530,Ccharge,-13.5,50
tookoff,She slowly took off her,high-he,4,2,2,6,+0.00000,+0.00000,+0.00000,Ccharge,,50
tookoff,She slowly took off her,m,8,6,2,14,+0.00001,-0.00020,-0.00003,Ccharge,,50
tookoff,She slowly took off her,ring,24,22,2,46,+0.00432,+0.07808,+0.03592,Ccharge,-12.5,50
tookoff,She slowly took off her,soaking,3,1,2,4,+0.05171,+0.08824,+0.00353,Ccharge,,50
tookoff,She slowly took off her,worn-out,2,0,2,2,+0.09526,+0.09526,+0.00191,Ccharge,,50
tookoff,She slowly took off her,thong,5,3,2,8,+0.05806,+0.04748,+0.00380,Ccharge,,50
tookoff,She slowly took off her,lace,4,2,2,6,+0.04194,+0.03254,+0.00195,Ccharge,,50
tookoff,She slowly took off her,small,4,2,2,6,+0.02400,+0.01620,+0.00097,Ccharge,,50
tookoff,She slowly took off her,tiny,3,1,2,4,+0.06768,+0.03887,+0.00155,Ccharge,,50
tookoff,She slowly took off her,shades,4,2,2,6,+0.04339,+0.07036,+0.00422,Ccharge,,50
tookoff,She slowly took off her,shirts,2,0,2,2,+0.07615,+0.07615,+0.00152,Ccharge,,50
tookoff,She slowly took off her,fingers,2,0,2,2,+0.03419,+0.03419,+0.00068,Ccharge,,50
tookoff,She slowly took off her,foot,3,1,2,4,+0.00931,+0.01408,+0.00056,Ccharge,,50
tookoff,She slowly took off her,handbag,4,2,2,6,+0.03331,+0.11441,+0.00686,Ccharge,,50
tookoff,She slowly took off her,handker,5,3,2,8,+0.00001,-0.00028,-0.00002,Ccharge,,50
tookoff,She slowly took off her,phone,3,1,2,4,+0.10432,+0.09712,+0.00388,Ccharge,,50
tookoff,She slowly took off her,lavender,2,0,2,2,+0.05041,+0.05041,+0.00101,Ccharge,,50
tookoff,She slowly took off her,loose,2,0,2,2,+0.03050,+0.03050,+0.00061,Ccharge,,50
tookoff,She slowly took off her,sweaty,4,2,2,6,+0.02970,+0.01792,+0.00108,Ccharge,,50
tookoff,She slowly took off her,heeled,2,0,2,2,+0.08682,+0.08682,+0.00174,Ccharge,,50
tookoff,She slowly took off her,reading,2,0,2,2,+0.06790,+0.06790,+0.00136,Ccharge,,50
tookoff,She slowly took off her,bow,2,0,2,2,+0.03589,+0.03589,+0.00072,Ccharge,,50
tookoff,She slowly took off her,business,2,0,2,2,+0.10549,+0.10549,+0.00211,Ccharge,,50
tookoff,She slowly took off her,makeshift,2,0,2,2,+0.12150,+0.12150,+0.00243,Ccharge,,50
tookoff,She slowly took off her,prost,3,1,2,4,+0.00000,+0.00000,+0.00000,Ccharge,,50
tookoff,She slowly took off her,wristwatch,2,0,2,2,+0.12867,+0.12867,+0.00257,Ccharge,,50
tookoff,She slowly took off her,fedora,2,0,2,2,+0.45365,+0.45365,+0.00907,Ccharge,-5.0,50
tookoff,She slowly took off her,locket,2,0,2,2,+0.12975,+0.12975,+0.00260,Ccharge,,50
tookoff,She slowly took off her,hard,2,0,2,2,+0.07011,+0.07011,+0.00140,Ccharge,,50
tookoff,She slowly took off her,hospital,2,0,2,2,+0.11581,+0.11581,+0.00232,Ccharge,,50
tookoff,She slowly took off her,__________,2,0,2,2,+0.03220,+0.03220,+0.00064,Ccharge,,50
tookoff,She slowly took off her,turquoise,2,0,2,2,+0.08236,+0.08236,+0.00165,Ccharge,,50
tookoff,She slowly took off her,woolen,2,0,2,2,+0.07502,+0.07502,+0.00150,Ccharge,,50
tookoff,She slowly took off her,choker,2,0,2,2,+0.14507,+0.14507,+0.00290,Ccharge,,50
tookoff,She slowly took off her,fingerless,2,0,2,2,+0.13162,+0.13162,+0.00263,Ccharge,,50
tookoff,She slowly took off her,slipper,2,0,2,2,+0.04529,+0.04529,+0.00091,Ccharge,,50
tookoff,She slowly took off her,nightshirt,2,0,2,2,+0.11717,+0.11717,+0.00234,Ccharge,,50
tookoff,She slowly took off her,bright,5,4,1,9,+0.03851,+0.03543,+0.00319,Ccharge,,50
tookoff,She slowly took off her,disguise,7,6,1,13,+0.01923,+0.03282,+0.00427,Ccharge,,50
tookoff,She slowly took off her,necklace,22,21,1,43,+0.00432,+0.02767,+0.01190,Ccharge,-14.0,50
tookoff,She slowly took off her,protective,4,3,1,7,+0.01813,+0.00662,+0.00046,Ccharge,,50
tookoff,She slowly took off her,fl,8,7,1,15,+0.00000,+0.00077,+0.00012,Ccharge,,50
tookoff,She slowly took off her,tiara,2,1,1,3,+0.11245,+0.16010,+0.00480,Ccharge,,50
tookoff,She slowly took off her,wrist,3,2,1,5,+0.00680,+0.01552,+0.00078,Ccharge,,50
tookoff,She slowly took off her,sare,2,1,1,3,+0.00001,-0.00001,-0.00000,Ccharge,,50
tookoff,She slowly took off her,br,2,1,1,3,+0.00057,+0.00048,+0.00001,Ccharge,,50
tookoff,She slowly took off her,nightie,2,1,1,3,+0.07115,+0.05865,+0.00176,Ccharge,,50
tookoff,She slowly took off her,beret,2,1,1,3,+0.06736,+0.06401,+0.00192,Ccharge,,50
tookoff,She slowly took off her,snow,2,1,1,3,+0.01702,+0.01956,+0.00059,Ccharge,,50
tookoff,She slowly took off her,running,4,3,1,7,+0.01004,+0.03705,+0.00259,Ccharge,,50
tookoff,She slowly took off her,bur,3,2,1,5,+0.00001,+0.01232,+0.00062,Ccharge,,50
tookoff,She slowly took off her,finger,4,3,1,7,+0.01481,+0.04761,+0.00333,Ccharge,,50
tookoff,She slowly took off her,cow,2,1,1,3,+0.00009,+0.00056,+0.00002,Ccharge,,50
tookoff,She slowly took off her,life,2,1,1,3,+0.06644,+0.18141,+0.00544,Ccharge,,50
tookoff,She slowly took off her,sc,2,1,1,3,+0.00002,+0.00188,+0.00006,Ccharge,,50
tookoff,She slowly took off her,seatbel,2,1,1,3,+0.00000,+0.00000,+0.00000,Ccharge,,50
tookoff,She slowly took off her,sweat-so,2,1,1,3,+0.00000,+0.00000,+0.00000,Ccharge,,50
tookoff,She slowly took off her,sweat-soaked,2,1,1,3,+0.12559,+0.08600,+0.00258,Ccharge,,50
tookoff,She slowly took off her,turtleneck,2,1,1,3,+0.12030,+0.05709,+0.00171,Ccharge,,50
tookoff,She slowly took off her,earring,2,1,1,3,+0.09266,+0.07088,+0.00213,Ccharge,,50
tookoff,She slowly took off her,headpiece,2,1,1,3,+0.07666,+0.02032,+0.00061,Ccharge,,50
tookoff,She slowly took off her,damp,2,2,0,4,-0.00370,+0.00719,+0.00029,Ccharge,,50
