source,source_label,target,target_label,up,n,n_prompts,spec,obs_over_exp,p,grain,perm
M,M,W-,W-,24,44,31,1.0833,0.9511,0.651588,letter,32
N+,N+,E+,E+,27,48,1218,1.0827,0.9892,0.470879,letter,32
N,N,B,B,31,49,1132,1.0819,1.1058,0.0854331,letter,32
B-,B-,I,I,27,49,326,1.0815,0.9878,0.568172,letter,32
T,T,T+,T+,30,49,629,1.0813,1.1963,0.152408,letter,32
B,B,E,E,28,48,166,1.0807,0.8236,0.312327,letter,32
L,L,M,M,27,49,467,1.0803,1.0772,0.568172,letter,32
F+,F+,X+,X+,22,41,52,1.0803,1.8693,0.755229,letter,32
A,A,A+,A+,38,50,2242,1.0802,0.9848,0.000305864,letter,32
F+,F+,Q,Q,23,43,55,1.0794,2.0485,0.760792,letter,32
T+,T+,S+,S+,29,49,1632,1.0791,0.6328,0.25287,letter,32
X-,X-,T-,T-,27,48,363,1.0791,0.5080,0.470879,letter,32
A+,A+,S+,S+,31,50,2140,1.0790,0.9155,0.11892,letter,32
M,M,Y,Y,25,47,1274,1.0786,0.9590,0.770867,letter,32
F,F,S+,S+,30,49,898,1.0771,1.4599,0.152408,letter,32
X,X,Q,Q,33,49,1976,1.0763,0.7360,0.0212941,letter,32
E+,E+,Z,Z,26,49,1022,1.0756,1.1249,0.77545,letter,32
E-,E-,S,S,26,49,1239,1.0755,1.0695,0.77545,letter,32
H,H,P,P,27,48,235,1.0754,1.1038,0.470879,letter,32
Q,Q,N,N,30,49,1913,1.0752,0.8975,0.152408,letter,32
S-,S-,A-,A-,28,49,1129,1.0748,1.1875,0.391603,letter,32
N-,N-,F,F,29,48,382,1.0746,0.6929,0.193413,letter,32
E-,E-,N,N,32,49,1184,1.0745,1.2381,0.0443842,letter,32
B-,B-,T+,T+,31,49,214,1.0741,1.2972,0.0854331,letter,32
T+,T+,O,O,29,49,1544,1.0740,0.6096,0.25287,letter,32
S-,S-,B,B,30,49,807,1.0740,1.4457,0.152408,letter,32
X+,X+,M,M,36,49,2066,1.0738,0.7449,0.00140269,letter,32
X+,X+,L-,L-,26,49,451,1.0738,0.4042,0.77545,letter,32
B-,B-,K,K,27,49,249,1.0734,1.2303,0.568172,letter,32
A,A,N-,N-,30,49,1261,1.0731,0.8993,0.152408,letter,32
I,I,T,T,26,49,1123,1.0719,1.2880,0.77545,letter,32
K,K,P,P,28,49,205,1.0714,0.8558,0.391603,letter,32
M,M,O,O,37,49,2086,1.0714,1.2907,0.000469757,letter,32
N-,N-,A-,A-,29,48,1034,1.0707,0.8297,0.193413,letter,32
C,C,A+,A+,29,48,598,1.0688,1.2444,0.193413,letter,32
X+,X+,S,S,27,49,1777,1.0687,0.8154,0.568172,letter,32
L-,L-,A,A,34,49,687,1.0676,2.2917,0.00939924,letter,32
S,S,E+,E+,27,49,892,1.0671,1.4528,0.568172,letter,32
O+,O+,A+,A+,31,49,837,1.0671,1.2762,0.0854331,letter,32
Q,Q,G-,G-,30,49,768,1.0668,0.7497,0.152408,letter,32
O,O,T,T,28,49,1320,1.0662,1.2210,0.391603,letter,32
A-,A-,M,M,31,49,2157,1.0654,0.7682,0.0854331,letter,32
X+,X+,Z,Z,27,49,2020,1.0650,0.9681,0.568172,letter,32
B,B,I,I,25,49,1306,1.0645,1.1692,1,letter,32
A-,A-,N+,N+,31,49,1920,1.0641,0.7758,0.0854331,letter,32
A-,A-,O,O,29,49,1951,1.0639,0.9078,0.25287,letter,32
F,F,G-,G-,29,47,323,1.0634,1.2689,0.143865,letter,32
X,X,E-,E-,27,49,1472,1.0632,0.6196,0.568172,letter,32
N,N,Q,Q,29,49,1682,1.0627,1.0807,0.25287,letter,32
T,T,M,M,31,49,1144,1.0626,0.9637,0.0854331,letter,32
L,L,L-,L-,25,48,91,1.0620,0.7254,0.885433,letter,32
N,N,E,E,26,46,107,1.0618,0.6608,0.461391,letter,32
S,S,K,K,29,49,781,1.0614,1.6253,0.25287,letter,32
N-,N-,Z,Z,26,49,947,1.0609,1.0236,0.77545,letter,32
