source,source_label,target,target_label,up,n,n_prompts,spec,obs_over_exp,p,grain,perm
L1-,Life and living things [-],A5.3-,Evaluation:- Accuracy [-],18,46,67,0.7682,2.4190,0.183925,fine,32
L1-,Life and living things [-],A7+,Definite (+ modals) [+],17,48,220,0.7667,1.3089,0.0594634,fine,32
L1-,Life and living things [-],T1.1.2,Time: General: Present; simultaneous,18,49,143,0.7663,1.5301,0.0854331,fine,32
E3-,Calm/Violent/Angry [-],X2.6-,Expect [-],20,45,52,0.7658,0.4033,0.551484,fine,32
E3-,Calm/Violent/Angry [-],S1.1.2+,Reciprocity [+],19,46,136,0.7637,1.3546,0.301996,fine,32
L1-,Life and living things [-],A1.2+,Suitability [+],21,45,65,0.7632,2.1592,0.765992,fine,32
E3-,Calm/Violent/Angry [-],K5.1,Sports,15,49,353,0.7629,0.8438,0.00939924,fine,32
L1-,Life and living things [-],X3.2-,Sensory:- Sound [-],14,47,236,0.7545,2.5757,0.00794273,fine,32
E3-,Calm/Violent/Angry [-],A1.1.2,Damaging and destroying,9,49,564,0.7534,0.7628,9.26355e-06,fine,32
E3-,Calm/Violent/Angry [-],E4.1-,Happy/sad: Happy [-],18,48,353,0.7508,0.8245,0.111403,fine,32
E3-,Calm/Violent/Angry [-],N5.1+,Entirety; maximum [+],16,47,189,0.7505,0.7910,0.0399861,fine,32
L1-,Life and living things [-],A5.3+,Evaluation:- Accuracy [+],20,42,19,0.7459,1.1655,0.877614,fine,32
E3-,Calm/Violent/Angry [-],W3,Geographical terms,15,47,185,0.7447,0.7340,0.0186238,fine,32
E3-,Calm/Violent/Angry [-],F1,Food,16,49,359,0.7443,0.9407,0.0212941,fine,32
E3-,Calm/Violent/Angry [-],E3-,Calm/Violent/Angry [-],10,49,575,0.7418,0.6477,3.84591e-05,fine,32
L1-,Life and living things [-],T3+,"Time: Old, new and young; age [+]",12,31,15,0.7362,1.5264,0.281042,fine,32
E3-,Calm/Violent/Angry [-],Z1m,Personal names [m],21,45,118,0.7356,0.6034,0.765992,fine,32
L1-,Life and living things [-],S2,People,14,35,19,0.7325,0.6944,0.310505,fine,32
L1-,Life and living things [-],X3.2,Sensory:- Sound,15,49,338,0.7324,1.2098,0.00939924,fine,32
E3-,Calm/Violent/Angry [-],Q4.3,"The Media:- TV, Radio and Cinema",15,49,270,0.7296,1.2238,0.00939924,fine,32
L1-,Life and living things [-],Z8,Pronouns etc.,14,48,350,0.7276,1.2269,0.0055152,fine,32
L1-,Life and living things [-],N5++,Quantities [++],18,45,83,0.7247,0.9975,0.232693,fine,32
L1-,Life and living things [-],A5.3,Evaluation:- Accuracy,16,44,57,0.7239,1.2944,0.0961418,fine,32
E3-,Calm/Violent/Angry [-],X3.3,Sensory:- Touch,19,48,93,0.7216,1.1651,0.193413,fine,32
E3-,Calm/Violent/Angry [-],Z4,Discourse Bin,12,49,592,0.7166,0.7761,0.000469757,fine,32
E3-,Calm/Violent/Angry [-],S3.1,Relationship: General,17,47,101,0.7137,0.8653,0.0789407,fine,32
E3-,Calm/Violent/Angry [-],Z8f,Pronouns etc. [f],16,49,469,0.7134,0.8308,0.0212941,fine,32
E3-,Calm/Violent/Angry [-],X8+,Trying [+],14,49,517,0.7100,0.6074,0.00380165,fine,32
E3-,Calm/Violent/Angry [-],N3.3,Measurement: Distance,18,46,114,0.7095,0.9220,0.183925,fine,32
E3-,Calm/Violent/Angry [-],M4,"Shipping, swimming etc.",20,46,158,0.7091,0.9361,0.461391,fine,32
L1-,Life and living things [-],X2.2-,Knowledge [-],17,45,70,0.7090,1.3484,0.135156,fine,32
L1-,Life and living things [-],S1.2,Personality traits,17,46,99,0.7089,1.2585,0.103805,fine,32
L1-,Life and living things [-],O2,Objects generally,14,49,432,0.7067,1.3114,0.00380165,fine,32
L1-,Life and living things [-],Y2,Information technology and computing,16,48,256,0.7054,1.1823,0.0293049,fine,32
E3-,Calm/Violent/Angry [-],H5,Furniture and household fittings,16,47,130,0.7045,1.2382,0.0399861,fine,32
E3-,Calm/Violent/Angry [-],A13.6,Degree: Diminishers,16,48,219,0.6989,1.0035,0.0293049,fine,32
L1-,Life and living things [-],N3.3,Measurement: Distance,14,43,86,0.6936,1.5475,0.0315395,fine,32
L1-,Life and living things [-],S7.1-,"Power, organizing [-]",15,48,46,0.6932,0.8937,0.0132833,fine,32
L1-,Life and living things [-],A13.1,Degree: Non-specific,14,43,89,0.6903,0.5226,0.0315395,fine,32
L1-,Life and living things [-],B2-,Health and disease [-],10,48,190,0.6899,1.3613,6.16964e-05,fine,32
