source,source_label,target,target_label,up,n,n_prompts,spec,obs_over_exp,p,grain,perm
L1-,Life and living things [-],S1.2.4-,Politeness [-],21,43,84,0.9708,1.4667,1,fine,32
L1-,Life and living things [-],A1.5.1,Using,21,47,267,0.9699,1.9249,0.560065,fine,32
L1-,Life and living things [-],A10-,Open/closed; Hiding/Hidden; Finding; Showing [-],23,48,290,0.9669,1.6577,0.885433,fine,32
E3-,Calm/Violent/Angry [-],S1.1.1,"SOCIAL ACTIONS, STATES AND PROCESSES",23,48,122,0.9669,1.9209,0.885433,fine,32
L1-,Life and living things [-],S7.1+,"Power, organizing [+]",21,48,264,0.9656,1.7305,0.470879,fine,32
E3-,Calm/Violent/Angry [-],F1,Food,23,48,276,0.9597,1.0356,0.885433,fine,32
E3-,Calm/Violent/Angry [-],Z6,Negative,23,48,258,0.9552,1.3390,0.885433,fine,32
L1-,Life and living things [-],B5,Clothes and personal belongings,22,47,111,0.9551,2.2207,0.770867,fine,32
L1-,Life and living things [-],E4.1-,Happy/sad: Happy [-],24,49,224,0.9527,1.3688,1,fine,32
L1-,Life and living things [-],K1,Entertainment generally,23,48,200,0.9512,1.8040,0.885433,fine,32
E3-,Calm/Violent/Angry [-],Q1.3,Telecommunications,18,41,41,0.9484,1.6440,0.532709,fine,32
E3-,Calm/Violent/Angry [-],Z8m,Pronouns etc. [m],23,49,530,0.9464,0.7767,0.77545,fine,32
L1-,Life and living things [-],Z1mf,Personal names [mf],20,46,79,0.9403,1.3682,0.461391,fine,32
E3-,Calm/Violent/Angry [-],X5.1-,Attention [-],21,44,70,0.9399,1.1590,0.880396,fine,32
E3-,Calm/Violent/Angry [-],Z8mf,Pronouns etc. [mf],23,48,460,0.9389,0.9714,0.885433,fine,32
L1-,Life and living things [-],N5.1+c,Entirety; maximum [+c],16,33,23,0.9279,2.0407,1,fine,32
E3-,Calm/Violent/Angry [-],O2,Objects generally,23,49,332,0.9270,0.9875,0.77545,fine,32
L1-,Life and living things [-],M2,"Putting, taking, pulling, pushing, transporting &c.",20,49,626,0.9256,1.4348,0.25287,fine,32
L1-,Life and living things [-],A5.4-,Evaluation:- Authenticity [-],17,37,51,0.9251,1.4188,0.742829,fine,32
L1-,Life and living things [-],A10+,Open/closed; Hiding/Hidden; Finding; Showing [+],20,49,405,0.9217,1.8852,0.25287,fine,32
L1-,Life and living things [-],A14,Exclusivizers/particularizers,20,46,105,0.9201,1.5773,0.461391,fine,32
L1-,Life and living things [-],Q2.1,Speech etc:- Communicative,22,49,532,0.9190,1.5967,0.568172,fine,32
L1-,Life and living things [-],S9,Religion and the supernatural,21,47,102,0.9187,1.2755,0.560065,fine,32
L1-,Life and living things [-],A5.2+,Evaluation:- True/false [+],19,43,68,0.9146,1.6766,0.542384,fine,32
L1-,Life and living things [-],X8+,Trying [+],19,49,277,0.9109,1.4002,0.152408,fine,32
L1-,Life and living things [-],N3.8+,Measurement: Speed [+],18,48,246,0.9019,1.8780,0.111403,fine,32
L1-,Life and living things [-],X3.4,Sensory:- Sight,20,49,404,0.9013,1.9919,0.25287,fine,32
E3-,Calm/Violent/Angry [-],A11.1+,Importance: Important [+],17,37,45,0.8973,0.6515,0.742829,fine,32
L1-,Life and living things [-],X2.1,"Thought, belief",19,49,283,0.8972,2.0895,0.152408,fine,32
L1-,Life and living things [-],X2.6-,Expect [-],12,26,31,0.8969,2.2571,0.845019,fine,32
L1-,Life and living things [-],E3-,Calm/Violent/Angry [-],18,49,350,0.8953,1.2689,0.0854331,fine,32
E3-,Calm/Violent/Angry [-],S7.4+,Permission [+],19,48,442,0.8922,1.2000,0.193413,fine,32
L1-,Life and living things [-],A5.4+,Evaluation:- Authenticity [+],19,42,23,0.8914,1.9969,0.643969,fine,32
L1-,Life and living things [-],T1.1.1,Time: General: Past,21,48,248,0.8903,1.3035,0.470879,fine,32
L1-,Life and living things [-],T1,Time,23,47,99,0.8902,1.4064,1,fine,32
E3-,Calm/Violent/Angry [-],G2.2+,General ethics [+],13,28,10,0.8875,1.1671,0.850554,fine,32
E3-,Calm/Violent/Angry [-],L3,Plants,18,41,76,0.8836,0.9502,0.532709,fine,32
L1-,Life and living things [-],A1.7+,Constraint [+],20,48,177,0.8812,1.9419,0.312327,fine,32
E3-,Calm/Violent/Angry [-],A7+,Definite (+ modals) [+],20,48,247,0.8812,0.9986,0.312327,fine,32
E3-,Calm/Violent/Angry [-],S1.1.3+,Participation [+],18,44,41,0.8787,1.0579,0.291215,fine,32
L1-,Life and living things [-],X4.2,"Mental object:- Means, method",11,27,13,0.8774,2.4607,0.442068,fine,32
E3-,Calm/Violent/Angry [-],I1.2,Money: Debts,21,47,118,0.8698,1.0708,0.560065,fine,32
E3-,Calm/Violent/Angry [-],L1+,Life and living things [+],19,41,47,0.8656,0.5971,0.755229,fine,32
E3-,Calm/Violent/Angry [-],M8,Remaining/stationary,20,49,347,0.8622,0.8973,0.25287,fine,32
E3-,Calm/Violent/Angry [-],O4.6+,Temperature      [+],17,49,154,0.8583,0.9320,0.0443842,fine,32
E3-,Calm/Violent/Angry [-],M4,"Shipping, swimming etc.",20,46,116,0.8538,1.1259,0.461391,fine,32
E3-,Calm/Violent/Angry [-],Z8,Pronouns etc.,19,49,595,0.8503,1.0149,0.152408,fine,32
L1-,Life and living things [-],X3.2+++,Sensory:- Sound [+++],18,38,34,0.8502,1.0819,0.871415,fine,32
