source,source_label,target,target_label,up,n,n_prompts,spec,obs_over_exp,p,grain,perm
N,N,F-,F-,9,28,11,0.1511,0.0000,0.0871586,letter,32
L+,L+,G,G,10,45,44,0.1412,0.1305,0.000247088,letter,32
P,P,L-,L-,8,46,46,0.1297,0.0530,9.2477e-06,letter,32
B,B,B+,B+,8,40,32,0.1245,0.0036,0.000182166,letter,32
E,E,I-,I-,12,40,43,0.1241,0.0829,0.016589,letter,32
T,T,F-,F-,11,32,14,0.1233,0.0196,0.110184,letter,32
L+,L+,H,H,12,45,61,0.1164,0.1360,0.0024589,letter,32
S-,S-,G+,G+,8,41,26,0.1110,0.0489,0.000112221,letter,32
L+,L+,W,W,17,38,15,0.1067,0.0938,0.627103,letter,32
S+,S+,I+,I+,11,44,30,0.0984,0.0529,0.00126003,letter,32
X+,X+,F-,F-,8,28,23,0.0924,0.0000,0.0356981,letter,32
L+,L+,O+,O+,8,39,26,0.0883,0.1994,0.000294077,letter,32
B+,B+,G,G,11,27,12,0.0849,0.0000,0.442068,letter,32
P,P,L,L,9,46,41,0.0846,0.0691,4.05604e-05,letter,32
G-,G-,W,W,10,43,50,0.0821,0.0618,0.000606107,letter,32
X-,X-,W,W,9,44,54,0.0805,0.0352,0.000106045,letter,32
L,L,I-,I-,7,43,32,0.0785,0.0773,8.96304e-06,letter,32
T+,T+,L+,L+,17,46,41,0.0780,0.0341,0.103805,letter,32
S+,S+,B+,B+,15,38,33,0.0755,0.0009,0.255875,letter,32
I+,I+,T,T,8,34,18,0.0733,0.0000,0.00293506,letter,32
C,C,L,L,9,46,81,0.0676,0.0490,4.05604e-05,letter,32
S+,S+,F-,F-,9,30,13,0.0675,0.0000,0.0427739,letter,32
B+,B+,S-,S-,11,37,26,0.0658,0.0376,0.0200739,letter,32
C,C,B-,B-,7,49,74,0.0599,0.0750,3.62458e-07,letter,32
W,W,I-,I-,9,40,22,0.0597,0.0416,0.000679548,letter,32
F-,F-,N,N,11,32,11,0.0595,0.0000,0.110184,letter,32
N-,N-,W-,W-,12,35,12,0.0555,0.0164,0.0895311,letter,32
W-,W-,A+,A+,8,39,15,0.0541,0.0000,0.000294077,letter,32
N-,N-,I-,I-,8,47,96,0.0500,0.0499,5.53962e-06,letter,32
C,C,L-,L-,12,48,67,0.0499,0.0110,0.00071727,letter,32
F+,F+,S-,S-,12,38,21,0.0492,0.0829,0.0335524,letter,32
T+,T+,I+,I+,14,36,33,0.0467,0.0000,0.242985,letter,32
C,C,I-,I-,17,47,64,0.0428,0.0513,0.0789407,letter,32
Q,Q,W-,W-,14,34,12,0.0311,0.0580,0.391528,letter,32
F+,F+,F,F,10,42,27,0.0262,0.0000,0.000940674,letter,32
L+,L+,L,L,12,40,27,0.0261,0.0560,0.016589,letter,32
F,F,G+,G+,6,25,14,0.0242,0.0713,0.0146333,letter,32
W,W,L-,L-,14,46,29,0.0233,0.0165,0.0113516,letter,32
W-,W-,O+,O+,11,38,13,0.0135,0.0000,0.013853,letter,32
S+,S+,F+,F+,7,25,13,0.0101,0.0000,0.0432853,letter,32
W-,W-,X,X,6,36,14,0.0080,0.0000,6.96017e-05,letter,32
G+,G+,X-,X-,9,33,15,0.0000,0.0000,0.013531,letter,32
N-,N-,L+,L+,7,30,13,0.0000,0.0000,0.00522288,letter,32
G+,G+,T,T,10,38,11,0.0000,0.0000,0.00509764,letter,32
L+,L+,N-,N-,11,30,22,0.0000,0.0000,0.200488,letter,32
